3885,W Tree
3637,Waaia
3551,Waanyarra
3269,Waarre
3678,Wabonga
3646,Waggarandall
3687,Wahgunyah
3608,Wahring
3401,Wail
3887,Wairewa
3544,Waitchie
3385,Wal Wal
3678,Waldara
3825,Walhalla
3825,Walhalla East
3956,Walkerville
3956,Walkerville North
3956,Walkerville South
3352,Wallace
3303,Wallacedale
3891,Wallagaraugh
3387,Wallaloo
3387,Wallaloo East
3756,Wallan
3351,Wallinduc
3221,Wallington
3222,Wallington
3401,Wallup
3463,Walmer
3875,Walpa
3507,Walpeup
3709,Walwa
3612,Wanalta
3216,Wandana Heights
3579,Wandella
3744,Wandiligong
3139,Wandin East
3139,Wandin North
3312,Wando Bridge
3312,Wando Vale
3758,Wandong
3549,Wandown
3678,Wangandary
3891,Wangarabell
3676,Wangaratta
3677,Wangaratta
3678,Wangaratta Forward
3678,Wangaratta South
3530,Wangie
3279,Wangoom
3301,Wannon
3152,Wantirna
3152,Wantirna South
3616,Waranga
3612,Waranga Shores
3959,Waratah Bay
3799,Warburton
3465,Wareek
3505,Wargan
3482,Warmur
3243,Warncoort
3530,Warne
3980,Warneet
3286,Warrabkook
3393,Warracknabeal
3820,Warragul
3821,Warragul South
3821,Warragul West
3377,Warrak
3113,Warrandyte
3134,Warrandyte South
3134,Warranwood
3301,Warrayure
3670,Warrenbayne
3352,Warrenheip
3478,Warrenmang
3249,Warrion
3280,Warrnambool
3312,Warrock
3283,Warrong
3401,Wartook
3482,Watchem
3482,Watchem West
3485,Watchupga
3862,Waterford
3658,Waterford Park
3038,Watergardens
3875,Waterholes
3373,Waterloo
3195,Waterways
3087,Watsonia
3087,Watsonia North
3097,Watsons Creek
3995,Wattle Bank
3384,Wattle Creek
3352,Wattle Flat
3096,Wattle Glen
3237,Wattle Hill
3128,Wattle Park
3145,Wattletree Road Po
3352,Waubra
3216,Waurn Ponds
3170,Waverley Gardens
3888,Waygara
3352,Weatherboard
3518,Wedderburn
3518,Wedderburn Junction
3568,Wee Wee Rup
3237,Weeaproinah
3251,Weering
3260,Weerite
3518,Wehla
3551,Wellsford
3462,Welshmans Reef
3966,Welshpool
3549,Wemen
3355,Wendouree
3355,Wendouree Village
3241,Wensleydale
3875,Wentworth
3186,Were Street Po
3352,Werneth
3364,Werona
3030,Werribee
3030,Werribee South
3496,Werrimull
3799,Wesburn
3550,West Bendigo
3992,West Creek
3012,West Footscray
3003,West Melbourne
3690,West Wodonga
3825,Westbury
3579,Westby
3049,Westmeadows
3351,Westmere
3714,Whanregarwen
3564,Wharparilla
3461,Wheatsheaf
3150,Wheelers Hill
3556,Whipstick
3483,Whirily
3550,White Hills
3660,Whiteheads Creek
3950,Whitelaw
3733,Whitfield
3678,Whitlands
3219,Whittington
3757,Whittlesea
3243,Whoorel
3735,Whorouly
3735,Whorouly East
3735,Whorouly South
3612,Whroo
3379,Wickliffe
3728,Wilby
3953,Wild Dog Valley
3429,Wildwood
3393,Wilkur
3485,Willangie
3283,Willatook
3379,Willaura
3379,Willaura North
3393,Willenabrina
3027,Williams Landing
3016,Williamstown
3016,Williamstown North
3825,Willow Grove
3764,Willowmavin
3360,Willowvale
3847,Willung
3844,Willung South
3847,Willung South
3515,Wilsons Hill
3960,Wilsons Promontory
3922,Wimbledon Heights
3241,Winchelsea
3241,Winchelsea South
3352,Windermere
3181,Windsor
3891,Wingan River
3321,Wingeel
3477,Winjallok
3585,Winlaton
3546,Winnambool
3304,Winnap
3858,Winnindoo
3281,Winslow
3673,Winton
3673,Winton North
3608,Wirrate
3885,Wiseleigh
3189,Wishart
3689,Wodonga
3690,Wodonga
3691,Wodonga Forward
3690,Wodonga Plaza
3750,Wollert
3888,Wombat Creek
3409,Wombelano
3971,Won Wron
3960,Wonga
3115,Wonga Park
3221,Wongarra
3234,Wongarra
3862,Wongungarra
3737,Wonnangatta
3995,Wonthaggi
3401,Wonwondah
3962,Wonyip
3596,Wood Wood
3442,Woodend
3442,Woodend North
3715,Woodfield
3281,Woodford
3875,Woodglen
3294,Woodhouse
3945,Woodleigh
3723,Woods Point
3874,Woodside
3874,Woodside Beach
3874,Woodside North
3751,Woodstock
3551,Woodstock On Loddon
3463,Woodstock West
3556,Woodvale
3249,Wool Wool
3995,Woolamai
3860,Woolenook
3518,Woolshed Flat
3276,Woolsthorpe
3485,Woomelang
3747,Wooragee
3962,Woorarra East
3960,Woorarra West
3953,Wooreen
3139,Woori Yallock
3589,Woorinen
3589,Woorinen North
3588,Woorinen South
3272,Woorndoo
3525,Wooroonook
3518,Woosang
3315,Wootong Vale
3005,World Trade Centre
8005,World Trade Centre
3858,Worrowing
3860,Wrathung
3860,Wrixon
3891,Wroxham
3875,Wuk Wuk
3885,Wulgulmerang
3885,Wulgulmerang East
3885,Wulgulmerang West
3635,Wunghnu
3241,Wurdiboluc
3850,Wurruk
3875,Wy Yung
3527,Wycheproof
3527,Wycheproof South
3525,Wychitella
3525,Wychitella North
3221,Wye River
3234,Wye River
3237,Wyelangta
3024,Wyndham Vale
3620,Wyuna
3620,Wyuna East